4.0,446.0
9.0,446.0
12.0,443.0
18.0,438.0
24.0,433.0
31.0,434.0
35.0,438.0
42.0,445.0
48.0,451.0
53.0,454.0
62.0,455.0
74.0,455.0
84.0,456.0
89.0,457.0
109.0,455.0
118.0,447.0
130.0,438.0
140.0,432.0
151.0,424.0
165.0,419.0
174.0,418.0
187.0,418.0
196.0,423.0
205.0,430.0
213.0,436.0
223.0,442.0
234.0,447.0
245.0,446.0
254.0,444.0
280.0,445.0
291.0,449.0
308.0,443.0
315.0,437.0
322.0,429.0
329.0,425.0
335.0,424.0
346.0,425.0
358.0,426.0
370.0,420.0
379.0,404.0
386.0,398.0
399.0,394.0
409.0,395.0
420.0,398.0
440.0,403.0
453.0,411.0
465.0,422.0
473.0,437.0
483.0,453.0
495.0,458.0
515.0,459.0
533.0,460.0
550.0,459.0
559.0,453.0
571.0,442.0
581.0,430.0
589.0,418.0
600.0,403.0
611.0,399.0
626.0,400.0
644.0,406.0
652.0,414.0
666.0,419.0
676.0,427.0
685.0,435.0
694.0,440.0
728.0,447.0
745.0,438.0
751.0,431.0
760.0,432.0
789.0,450.0
821.0,449.0
833.0,452.0
