0.0,240.0
33.0,182.0
65.0,131.0
48.0,93.0
47.0,238.0
66.0,195.0
82.62295,240.0
116.0,218.0
118.0,194.0
97.0,192.0
95.0,215.0
120.0,238.0
143.0,241.0
172.0,212.0
180.0,115.0
169.0,82.0
164.0,160.0
174.0,235.0
215.0,241.0
226.0,218.0
236.0,125.0
224.0,80.0
216.0,153.0
233.0,238.0
266.0,247.0
257.0,219.0
278.0,188.0
261.0,218.0
278.0,244.0
297.0,234.0
300.0,210.0
288.0,191.0
268.0,211.0
290.0,211.0
329.0,204.0
392.0,196.0
422.0,247.0
453.0,202.0
473.0,248.0
502.0,204.0
539.0,202.0
530.0,224.0
546.0,243.0
575.0,224.0
564.0,199.0
543.0,195.0
550.0,213.0
586.0,213.0
596.0,196.0
591.0,184.0
606.0,199.0
633.0,202.0
626.0,243.0
662.0,248.0
677.0,217.0
676.0,92.0
666.0,111.0
668.0,191.0
676.0,244.0
708.0,248.0
702.0,229.0
713.0,208.0
740.0,205.0
715.0,210.0
704.0,229.0
713.0,246.0
737.0,247.0
755.0,190.0
757.0,95.0
741.0,83.0
742.0,198.0
771.0,249.0
801.0,251.0
